drug name,side effect,side effect,side effect,side effect,side effect,interacts with,interacts with,interacts with,disease name,disease category,drug category,product name,company name,clinical trial title,clinical trial start date,clinical trial completion date,clinical trial participants,clinical trial status,clinical trial condition,clinical trial condition,clinical trial address,clinical trial institution,clinical trial address,clinical trial main researcher,clinical trial condition
cetuximab,somnolence,headache,cough,renal failure,carcinoma,,,,"C1q deficiency, type B",Immunological,Antineoplastic agents,ERBITUX,ImClone LLC,Immune Response on Neoadjuvant Therapy in Non-small-cell Lung Cancer (NSCLC),2007.01.01,2011.06.01,41,Completed,"Carcinoma, Non-small-cell Lung",Laryngeal Neoplasms,Austria,Medical University of Vienna,"University Hospital, Internal Medicine",Wolfgang Hilbe,Mouth Neoplasms
cetuximab,somnolence,headache,cough,renal failure,carcinoma,,,,"C1s deficiency, isolated",Immunological,Antineoplastic agents,ERBITUX,ImClone LLC,Immune Response on Neoadjuvant Therapy in Non-small-cell Lung Cancer (NSCLC),2007.01.01,2011.06.01,41,Completed,"Carcinoma, Non-small-cell Lung",Laryngeal Neoplasms,Austria,Medical University of Vienna,"University Hospital, Internal Medicine",Wolfgang Hilbe,Mouth Neoplasms
cetuximab,somnolence,headache,cough,renal failure,carcinoma,,,,"Lupus nephritis, susceptibility to",Connective tissue disorder,Antineoplastic agents,ERBITUX,ImClone LLC,Immune Response on Neoadjuvant Therapy in Non-small-cell Lung Cancer (NSCLC),2007.01.01,2011.06.01,41,Completed,"Carcinoma, Non-small-cell Lung",Laryngeal Neoplasms,Austria,Medical University of Vienna,"University Hospital, Internal Medicine",Wolfgang Hilbe,Mouth Neoplasms
cetuximab,somnolence,headache,cough,renal failure,carcinoma,,,,"Lymphoma, progression of",Cancer,Antineoplastic agents,ERBITUX,ImClone LLC,Immune Response on Neoadjuvant Therapy in Non-small-cell Lung Cancer (NSCLC),2007.01.01,2011.06.01,41,Completed,"Carcinoma, Non-small-cell Lung",Laryngeal Neoplasms,Austria,Medical University of Vienna,"University Hospital, Internal Medicine",Wolfgang Hilbe,Mouth Neoplasms
cetuximab,somnolence,headache,cough,renal failure,carcinoma,,,,"Neutropenia, alloimmune neonatal",Hematological,Antineoplastic agents,ERBITUX,ImClone LLC,Immune Response on Neoadjuvant Therapy in Non-small-cell Lung Cancer (NSCLC),2007.01.01,2011.06.01,41,Completed,"Carcinoma, Non-small-cell Lung",Laryngeal Neoplasms,Austria,Medical University of Vienna,"University Hospital, Internal Medicine",Wolfgang Hilbe,Mouth Neoplasms
cetuximab,somnolence,headache,cough,renal failure,carcinoma,,,,"Nonsmall cell lung cancer, response to tyrosine kinase inhibitor in, 211980",Cancer,Antineoplastic agents,ERBITUX,ImClone LLC,Immune Response on Neoadjuvant Therapy in Non-small-cell Lung Cancer (NSCLC),2007.01.01,2011.06.01,41,Completed,"Carcinoma, Non-small-cell Lung",Laryngeal Neoplasms,Austria,Medical University of Vienna,"University Hospital, Internal Medicine",Wolfgang Hilbe,Mouth Neoplasms
cetuximab,somnolence,headache,cough,renal failure,carcinoma,,,,"Viral infections, recurrent",Immunological,Antineoplastic agents,ERBITUX,ImClone LLC,Immune Response on Neoadjuvant Therapy in Non-small-cell Lung Cancer (NSCLC),2007.01.01,2011.06.01,41,Completed,"Carcinoma, Non-small-cell Lung",Laryngeal Neoplasms,Austria,Medical University of Vienna,"University Hospital, Internal Medicine",Wolfgang Hilbe,Mouth Neoplasms
denileukin diftitox,dizziness,headache,pain,dehydration,vasodilatation,,,,"Interleukin-2 receptor, alpha chain, deficiency of",Immunological,Antineoplastic agents,Ontak,Eisai Inc.,,,,,,,,,,,,
denileukin diftitox,dizziness,headache,pain,dehydration,vasodilatation,,,,Severe combined immunodeficiency,Immunological,Antineoplastic agents,Ontak,Eisai Inc.,,,,,,,,,,,,
denileukin diftitox,dizziness,headache,pain,dehydration,vasodilatation,,,,Combined immunodeficiency,Immunological,Antineoplastic agents,Ontak,Eisai Inc.,,,,,,,,,,,,
denileukin diftitox,dizziness,headache,pain,dehydration,vasodilatation,,,,"Combined immunodeficiency, X-linked, moderate, 312863",Immunological,Antineoplastic agents,Ontak,Eisai Inc.,,,,,,,,,,,,
denileukin diftitox,dizziness,headache,pain,dehydration,vasodilatation,,,,"Severe combined immunodeficiency, X-linked, 300400",Immunological,Antineoplastic agents,Ontak,Eisai Inc.,,,,,,,,,,,,
etanercept,dizziness,abdominal pain,nausea,melanoma,,,,,Asthma,Respiratory,Antirheumatic agents,ENBREL,Immunex Corporation,Can We Miss Pigmented Lesions in Psoriasis Patients?,2007.09.01,2012.04.01,6,Completed,Non-melanoma Skin Cancer,Psoriasis,United States,University of Alabama at Birmingham,UAB Dermatology,"Boni Elewski, MD",Melanoma
,,,,,,,,,,,,,,Addition of Etanercept and Extracorporeal Photopheresis (ECP) to Standard Graft-Versus-Host Disease (GVHD) Prophylaxis in Stem Cell Transplant,2009.03.01,2015.09.01,48,"Active, not recruiting",Graft Versus Host Disease,,United States,University of Michigan Cancer Center,University of Michigan Cancer Center,"John Levine, MD",
etanercept,dizziness,abdominal pain,nausea,melanoma,,,,,Asthma,Respiratory,Immunomodulatory agents,ENBREL,Immunex Corporation,Can We Miss Pigmented Lesions in Psoriasis Patients?,2007.09.01,2012.04.01,6,Completed,Non-melanoma Skin Cancer,Psoriasis,United States,University of Alabama at Birmingham,UAB Dermatology,"Boni Elewski, MD",Melanoma
,,,,,,,,,,,,,,Addition of Etanercept and Extracorporeal Photopheresis (ECP) to Standard Graft-Versus-Host Disease (GVHD) Prophylaxis in Stem Cell Transplant,2009.03.01,2015.09.01,48,"Active, not recruiting",Graft Versus Host Disease,,United States,University of Michigan Cancer Center,University of Michigan Cancer Center,"John Levine, MD",
etanercept,dizziness,abdominal pain,nausea,melanoma,,,,,Complementary component deficiency,Immunological,Antirheumatic agents,ENBREL,Immunex Corporation,Can We Miss Pigmented Lesions in Psoriasis Patients?,2007.09.01,2012.04.01,6,Completed,Non-melanoma Skin Cancer,Psoriasis,United States,University of Alabama at Birmingham,UAB Dermatology,"Boni Elewski, MD",Melanoma
,,,,,,,,,,,,,,Addition of Etanercept and Extracorporeal Photopheresis (ECP) to Standard Graft-Versus-Host Disease (GVHD) Prophylaxis in Stem Cell Transplant,2009.03.01,2015.09.01,48,"Active, not recruiting",Graft Versus Host Disease,,United States,University of Michigan Cancer Center,University of Michigan Cancer Center,"John Levine, MD",
etanercept,dizziness,abdominal pain,nausea,melanoma,,,,,Complementary component deficiency,Immunological,Immunomodulatory agents,ENBREL,Immunex Corporation,Can We Miss Pigmented Lesions in Psoriasis Patients?,2007.09.01,2012.04.01,6,Completed,Non-melanoma Skin Cancer,Psoriasis,United States,University of Alabama at Birmingham,UAB Dermatology,"Boni Elewski, MD",Melanoma
,,,,,,,,,,,,,,Addition of Etanercept and Extracorporeal Photopheresis (ECP) to Standard Graft-Versus-Host Disease (GVHD) Prophylaxis in Stem Cell Transplant,2009.03.01,2015.09.01,48,"Active, not recruiting",Graft Versus Host Disease,,United States,University of Michigan Cancer Center,University of Michigan Cancer Center,"John Levine, MD",
etanercept,dizziness,abdominal pain,nausea,melanoma,,,,,Dementia,Neurological,Antirheumatic agents,ENBREL,Immunex Corporation,Can We Miss Pigmented Lesions in Psoriasis Patients?,2007.09.01,2012.04.01,6,Completed,Non-melanoma Skin Cancer,Psoriasis,United States,University of Alabama at Birmingham,UAB Dermatology,"Boni Elewski, MD",Melanoma
,,,,,,,,,,,,,,Addition of Etanercept and Extracorporeal Photopheresis (ECP) to Standard Graft-Versus-Host Disease (GVHD) Prophylaxis in Stem Cell Transplant,2009.03.01,2015.09.01,48,"Active, not recruiting",Graft Versus Host Disease,,United States,University of Michigan Cancer Center,University of Michigan Cancer Center,"John Levine, MD",
etanercept,dizziness,abdominal pain,nausea,melanoma,,,,,Dementia,Neurological,Immunomodulatory agents,ENBREL,Immunex Corporation,Can We Miss Pigmented Lesions in Psoriasis Patients?,2007.09.01,2012.04.01,6,Completed,Non-melanoma Skin Cancer,Psoriasis,United States,University of Alabama at Birmingham,UAB Dermatology,"Boni Elewski, MD",Melanoma
,,,,,,,,,,,,,,Addition of Etanercept and Extracorporeal Photopheresis (ECP) to Standard Graft-Versus-Host Disease (GVHD) Prophylaxis in Stem Cell Transplant,2009.03.01,2015.09.01,48,"Active, not recruiting",Graft Versus Host Disease,,United States,University of Michigan Cancer Center,University of Michigan Cancer Center,"John Levine, MD",
etanercept,dizziness,abdominal pain,nausea,melanoma,,,,,"IgG receptor I, phagocytic, familial deficiency of",Immunological,Antirheumatic agents,ENBREL,Immunex Corporation,Can We Miss Pigmented Lesions in Psoriasis Patients?,2007.09.01,2012.04.01,6,Completed,Non-melanoma Skin Cancer,Psoriasis,United States,University of Alabama at Birmingham,UAB Dermatology,"Boni Elewski, MD",Melanoma
,,,,,,,,,,,,,,Addition of Etanercept and Extracorporeal Photopheresis (ECP) to Standard Graft-Versus-Host Disease (GVHD) Prophylaxis in Stem Cell Transplant,2009.03.01,2015.09.01,48,"Active, not recruiting",Graft Versus Host Disease,,United States,University of Michigan Cancer Center,University of Michigan Cancer Center,"John Levine, MD",
etanercept,dizziness,abdominal pain,nausea,melanoma,,,,,"IgG receptor I, phagocytic, familial deficiency of",Immunological,Immunomodulatory agents,ENBREL,Immunex Corporation,Can We Miss Pigmented Lesions in Psoriasis Patients?,2007.09.01,2012.04.01,6,Completed,Non-melanoma Skin Cancer,Psoriasis,United States,University of Alabama at Birmingham,UAB Dermatology,"Boni Elewski, MD",Melanoma
,,,,,,,,,,,,,,Addition of Etanercept and Extracorporeal Photopheresis (ECP) to Standard Graft-Versus-Host Disease (GVHD) Prophylaxis in Stem Cell Transplant,2009.03.01,2015.09.01,48,"Active, not recruiting",Graft Versus Host Disease,,United States,University of Michigan Cancer Center,University of Michigan Cancer Center,"John Levine, MD",
etanercept,dizziness,abdominal pain,nausea,melanoma,,,,,Lupus erythematosus,Connective tissue disorder,Antirheumatic agents,ENBREL,Immunex Corporation,Can We Miss Pigmented Lesions in Psoriasis Patients?,2007.09.01,2012.04.01,6,Completed,Non-melanoma Skin Cancer,Psoriasis,United States,University of Alabama at Birmingham,UAB Dermatology,"Boni Elewski, MD",Melanoma
,,,,,,,,,,,,,,Addition of Etanercept and Extracorporeal Photopheresis (ECP) to Standard Graft-Versus-Host Disease (GVHD) Prophylaxis in Stem Cell Transplant,2009.03.01,2015.09.01,48,"Active, not recruiting",Graft Versus Host Disease,,United States,University of Michigan Cancer Center,University of Michigan Cancer Center,"John Levine, MD",
etanercept,dizziness,abdominal pain,nausea,melanoma,,,,,Lupus erythematosus,Connective tissue disorder,Immunomodulatory agents,ENBREL,Immunex Corporation,Can We Miss Pigmented Lesions in Psoriasis Patients?,2007.09.01,2012.04.01,6,Completed,Non-melanoma Skin Cancer,Psoriasis,United States,University of Alabama at Birmingham,UAB Dermatology,"Boni Elewski, MD",Melanoma
,,,,,,,,,,,,,,Addition of Etanercept and Extracorporeal Photopheresis (ECP) to Standard Graft-Versus-Host Disease (GVHD) Prophylaxis in Stem Cell Transplant,2009.03.01,2015.09.01,48,"Active, not recruiting",Graft Versus Host Disease,,United States,University of Michigan Cancer Center,University of Michigan Cancer Center,"John Levine, MD",
etanercept,dizziness,abdominal pain,nausea,melanoma,,,,,Lymphoma,Cancer,Antirheumatic agents,ENBREL,Immunex Corporation,Can We Miss Pigmented Lesions in Psoriasis Patients?,2007.09.01,2012.04.01,6,Completed,Non-melanoma Skin Cancer,Psoriasis,United States,University of Alabama at Birmingham,UAB Dermatology,"Boni Elewski, MD",Melanoma
,,,,,,,,,,,,,,Addition of Etanercept and Extracorporeal Photopheresis (ECP) to Standard Graft-Versus-Host Disease (GVHD) Prophylaxis in Stem Cell Transplant,2009.03.01,2015.09.01,48,"Active, not recruiting",Graft Versus Host Disease,,United States,University of Michigan Cancer Center,University of Michigan Cancer Center,"John Levine, MD",
etanercept,dizziness,abdominal pain,nausea,melanoma,,,,,Lymphoma,Cancer,Immunomodulatory agents,ENBREL,Immunex Corporation,Can We Miss Pigmented Lesions in Psoriasis Patients?,2007.09.01,2012.04.01,6,Completed,Non-melanoma Skin Cancer,Psoriasis,United States,University of Alabama at Birmingham,UAB Dermatology,"Boni Elewski, MD",Melanoma
,,,,,,,,,,,,,,Addition of Etanercept and Extracorporeal Photopheresis (ECP) to Standard Graft-Versus-Host Disease (GVHD) Prophylaxis in Stem Cell Transplant,2009.03.01,2015.09.01,48,"Active, not recruiting",Graft Versus Host Disease,,United States,University of Michigan Cancer Center,University of Michigan Cancer Center,"John Levine, MD",
etanercept,dizziness,abdominal pain,nausea,melanoma,,,,,Malaria,Immunological,Antirheumatic agents,ENBREL,Immunex Corporation,Can We Miss Pigmented Lesions in Psoriasis Patients?,2007.09.01,2012.04.01,6,Completed,Non-melanoma Skin Cancer,Psoriasis,United States,University of Alabama at Birmingham,UAB Dermatology,"Boni Elewski, MD",Melanoma
,,,,,,,,,,,,,,Addition of Etanercept and Extracorporeal Photopheresis (ECP) to Standard Graft-Versus-Host Disease (GVHD) Prophylaxis in Stem Cell Transplant,2009.03.01,2015.09.01,48,"Active, not recruiting",Graft Versus Host Disease,,United States,University of Michigan Cancer Center,University of Michigan Cancer Center,"John Levine, MD",
etanercept,dizziness,abdominal pain,nausea,melanoma,,,,,Malaria,Immunological,Immunomodulatory agents,ENBREL,Immunex Corporation,Can We Miss Pigmented Lesions in Psoriasis Patients?,2007.09.01,2012.04.01,6,Completed,Non-melanoma Skin Cancer,Psoriasis,United States,University of Alabama at Birmingham,UAB Dermatology,"Boni Elewski, MD",Melanoma
,,,,,,,,,,,,,,Addition of Etanercept and Extracorporeal Photopheresis (ECP) to Standard Graft-Versus-Host Disease (GVHD) Prophylaxis in Stem Cell Transplant,2009.03.01,2015.09.01,48,"Active, not recruiting",Graft Versus Host Disease,,United States,University of Michigan Cancer Center,University of Michigan Cancer Center,"John Levine, MD",
etanercept,dizziness,abdominal pain,nausea,melanoma,,,,,Migraine,Neurological,Antirheumatic agents,ENBREL,Immunex Corporation,Can We Miss Pigmented Lesions in Psoriasis Patients?,2007.09.01,2012.04.01,6,Completed,Non-melanoma Skin Cancer,Psoriasis,United States,University of Alabama at Birmingham,UAB Dermatology,"Boni Elewski, MD",Melanoma
,,,,,,,,,,,,,,Addition of Etanercept and Extracorporeal Photopheresis (ECP) to Standard Graft-Versus-Host Disease (GVHD) Prophylaxis in Stem Cell Transplant,2009.03.01,2015.09.01,48,"Active, not recruiting",Graft Versus Host Disease,,United States,University of Michigan Cancer Center,University of Michigan Cancer Center,"John Levine, MD",
etanercept,dizziness,abdominal pain,nausea,melanoma,,,,,Migraine,Neurological,Immunomodulatory agents,ENBREL,Immunex Corporation,Can We Miss Pigmented Lesions in Psoriasis Patients?,2007.09.01,2012.04.01,6,Completed,Non-melanoma Skin Cancer,Psoriasis,United States,University of Alabama at Birmingham,UAB Dermatology,"Boni Elewski, MD",Melanoma
,,,,,,,,,,,,,,Addition of Etanercept and Extracorporeal Photopheresis (ECP) to Standard Graft-Versus-Host Disease (GVHD) Prophylaxis in Stem Cell Transplant,2009.03.01,2015.09.01,48,"Active, not recruiting",Graft Versus Host Disease,,United States,University of Michigan Cancer Center,University of Michigan Cancer Center,"John Levine, MD",
etanercept,dizziness,abdominal pain,nausea,melanoma,,,,,Myocardial infarction,Cardiovascular,Antirheumatic agents,ENBREL,Immunex Corporation,Can We Miss Pigmented Lesions in Psoriasis Patients?,2007.09.01,2012.04.01,6,Completed,Non-melanoma Skin Cancer,Psoriasis,United States,University of Alabama at Birmingham,UAB Dermatology,"Boni Elewski, MD",Melanoma
,,,,,,,,,,,,,,Addition of Etanercept and Extracorporeal Photopheresis (ECP) to Standard Graft-Versus-Host Disease (GVHD) Prophylaxis in Stem Cell Transplant,2009.03.01,2015.09.01,48,"Active, not recruiting",Graft Versus Host Disease,,United States,University of Michigan Cancer Center,University of Michigan Cancer Center,"John Levine, MD",
etanercept,dizziness,abdominal pain,nausea,melanoma,,,,,Myocardial infarction,Cardiovascular,Immunomodulatory agents,ENBREL,Immunex Corporation,Can We Miss Pigmented Lesions in Psoriasis Patients?,2007.09.01,2012.04.01,6,Completed,Non-melanoma Skin Cancer,Psoriasis,United States,University of Alabama at Birmingham,UAB Dermatology,"Boni Elewski, MD",Melanoma
,,,,,,,,,,,,,,Addition of Etanercept and Extracorporeal Photopheresis (ECP) to Standard Graft-Versus-Host Disease (GVHD) Prophylaxis in Stem Cell Transplant,2009.03.01,2015.09.01,48,"Active, not recruiting",Graft Versus Host Disease,,United States,University of Michigan Cancer Center,University of Michigan Cancer Center,"John Levine, MD",
etanercept,dizziness,abdominal pain,nausea,melanoma,,,,,Neutropenia,Hematological,Antirheumatic agents,ENBREL,Immunex Corporation,Can We Miss Pigmented Lesions in Psoriasis Patients?,2007.09.01,2012.04.01,6,Completed,Non-melanoma Skin Cancer,Psoriasis,United States,University of Alabama at Birmingham,UAB Dermatology,"Boni Elewski, MD",Melanoma
,,,,,,,,,,,,,,Addition of Etanercept and Extracorporeal Photopheresis (ECP) to Standard Graft-Versus-Host Disease (GVHD) Prophylaxis in Stem Cell Transplant,2009.03.01,2015.09.01,48,"Active, not recruiting",Graft Versus Host Disease,,United States,University of Michigan Cancer Center,University of Michigan Cancer Center,"John Levine, MD",
etanercept,dizziness,abdominal pain,nausea,melanoma,,,,,Neutropenia,Hematological,Immunomodulatory agents,ENBREL,Immunex Corporation,Can We Miss Pigmented Lesions in Psoriasis Patients?,2007.09.01,2012.04.01,6,Completed,Non-melanoma Skin Cancer,Psoriasis,United States,University of Alabama at Birmingham,UAB Dermatology,"Boni Elewski, MD",Melanoma
,,,,,,,,,,,,,,Addition of Etanercept and Extracorporeal Photopheresis (ECP) to Standard Graft-Versus-Host Disease (GVHD) Prophylaxis in Stem Cell Transplant,2009.03.01,2015.09.01,48,"Active, not recruiting",Graft Versus Host Disease,,United States,University of Michigan Cancer Center,University of Michigan Cancer Center,"John Levine, MD",
etanercept,dizziness,abdominal pain,nausea,melanoma,,,,,Sepsis,Immunological,Antirheumatic agents,ENBREL,Immunex Corporation,Can We Miss Pigmented Lesions in Psoriasis Patients?,2007.09.01,2012.04.01,6,Completed,Non-melanoma Skin Cancer,Psoriasis,United States,University of Alabama at Birmingham,UAB Dermatology,"Boni Elewski, MD",Melanoma
,,,,,,,,,,,,,,Addition of Etanercept and Extracorporeal Photopheresis (ECP) to Standard Graft-Versus-Host Disease (GVHD) Prophylaxis in Stem Cell Transplant,2009.03.01,2015.09.01,48,"Active, not recruiting",Graft Versus Host Disease,,United States,University of Michigan Cancer Center,University of Michigan Cancer Center,"John Levine, MD",
etanercept,dizziness,abdominal pain,nausea,melanoma,,,,,Sepsis,Immunological,Immunomodulatory agents,ENBREL,Immunex Corporation,Can We Miss Pigmented Lesions in Psoriasis Patients?,2007.09.01,2012.04.01,6,Completed,Non-melanoma Skin Cancer,Psoriasis,United States,University of Alabama at Birmingham,UAB Dermatology,"Boni Elewski, MD",Melanoma
,,,,,,,,,,,,,,Addition of Etanercept and Extracorporeal Photopheresis (ECP) to Standard Graft-Versus-Host Disease (GVHD) Prophylaxis in Stem Cell Transplant,2009.03.01,2015.09.01,48,"Active, not recruiting",Graft Versus Host Disease,,United States,University of Michigan Cancer Center,University of Michigan Cancer Center,"John Levine, MD",
etanercept,dizziness,abdominal pain,nausea,melanoma,,,,,Viral infection,Immunological,Antirheumatic agents,ENBREL,Immunex Corporation,Can We Miss Pigmented Lesions in Psoriasis Patients?,2007.09.01,2012.04.01,6,Completed,Non-melanoma Skin Cancer,Psoriasis,United States,University of Alabama at Birmingham,UAB Dermatology,"Boni Elewski, MD",Melanoma
,,,,,,,,,,,,,,Addition of Etanercept and Extracorporeal Photopheresis (ECP) to Standard Graft-Versus-Host Disease (GVHD) Prophylaxis in Stem Cell Transplant,2009.03.01,2015.09.01,48,"Active, not recruiting",Graft Versus Host Disease,,United States,University of Michigan Cancer Center,University of Michigan Cancer Center,"John Levine, MD",
etanercept,dizziness,abdominal pain,nausea,melanoma,,,,,Viral infection,Immunological,Immunomodulatory agents,ENBREL,Immunex Corporation,Can We Miss Pigmented Lesions in Psoriasis Patients?,2007.09.01,2012.04.01,6,Completed,Non-melanoma Skin Cancer,Psoriasis,United States,University of Alabama at Birmingham,UAB Dermatology,"Boni Elewski, MD",Melanoma
,,,,,,,,,,,,,,Addition of Etanercept and Extracorporeal Photopheresis (ECP) to Standard Graft-Versus-Host Disease (GVHD) Prophylaxis in Stem Cell Transplant,2009.03.01,2015.09.01,48,"Active, not recruiting",Graft Versus Host Disease,,United States,University of Michigan Cancer Center,University of Michigan Cancer Center,"John Levine, MD",
etanercept,dizziness,abdominal pain,nausea,melanoma,,,,,"Asthma, susceptibility to, 600807",Respiratory,Antirheumatic agents,ENBREL,Immunex Corporation,Can We Miss Pigmented Lesions in Psoriasis Patients?,2007.09.01,2012.04.01,6,Completed,Non-melanoma Skin Cancer,Psoriasis,United States,University of Alabama at Birmingham,UAB Dermatology,"Boni Elewski, MD",Melanoma
,,,,,,,,,,,,,,Addition of Etanercept and Extracorporeal Photopheresis (ECP) to Standard Graft-Versus-Host Disease (GVHD) Prophylaxis in Stem Cell Transplant,2009.03.01,2015.09.01,48,"Active, not recruiting",Graft Versus Host Disease,,United States,University of Michigan Cancer Center,University of Michigan Cancer Center,"John Levine, MD",
etanercept,dizziness,abdominal pain,nausea,melanoma,,,,,"Asthma, susceptibility to, 600807",Respiratory,Immunomodulatory agents,ENBREL,Immunex Corporation,Can We Miss Pigmented Lesions in Psoriasis Patients?,2007.09.01,2012.04.01,6,Completed,Non-melanoma Skin Cancer,Psoriasis,United States,University of Alabama at Birmingham,UAB Dermatology,"Boni Elewski, MD",Melanoma
,,,,,,,,,,,,,,Addition of Etanercept and Extracorporeal Photopheresis (ECP) to Standard Graft-Versus-Host Disease (GVHD) Prophylaxis in Stem Cell Transplant,2009.03.01,2015.09.01,48,"Active, not recruiting",Graft Versus Host Disease,,United States,University of Michigan Cancer Center,University of Michigan Cancer Center,"John Levine, MD",
etanercept,dizziness,abdominal pain,nausea,melanoma,,,,,"C1q deficiency, type A",Immunological,Antirheumatic agents,ENBREL,Immunex Corporation,Can We Miss Pigmented Lesions in Psoriasis Patients?,2007.09.01,2012.04.01,6,Completed,Non-melanoma Skin Cancer,Psoriasis,United States,University of Alabama at Birmingham,UAB Dermatology,"Boni Elewski, MD",Melanoma
,,,,,,,,,,,,,,Addition of Etanercept and Extracorporeal Photopheresis (ECP) to Standard Graft-Versus-Host Disease (GVHD) Prophylaxis in Stem Cell Transplant,2009.03.01,2015.09.01,48,"Active, not recruiting",Graft Versus Host Disease,,United States,University of Michigan Cancer Center,University of Michigan Cancer Center,"John Levine, MD",
